epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,2990.09,0.84189,0.78342,1.20456,0.87985,0.91619,0.89863,0.66542,0.85156,0.60974,1.35318,0.0010694,0.0010694,0.0010694
143,3011.17,0.80439,0.77903,1.1859,0.87181,0.9375,0.89563,0.64096,0.95177,0.69482,1.38822,0.0010628,0.0010628,0.0010628
144,3032.24,0.81956,0.78137,1.20276,0.87201,0.85258,0.90014,0.68033,0.97265,0.73182,1.40341,0.0010562,0.0010562,0.0010562
145,3053.34,0.80268,0.77507,1.17975,0.75245,0.8125,0.8454,0.59181,0.92892,1.06511,1.37506,0.0010496,0.0010496,0.0010496
146,3074.39,0.7863,0.75681,1.1662,0.85656,0.8125,0.89319,0.58241,1.08755,0.82745,1.5407,0.001043,0.001043,0.001043
147,3095.48,0.81262,0.78601,1.19284,0.73537,0.86869,0.87655,0.60299,0.93437,0.86132,1.4174,0.0010364,0.0010364,0.0010364
148,3116.56,0.80305,0.77628,1.19653,0.93234,0.86191,0.92827,0.61549,1.05507,0.85214,1.49879,0.0010298,0.0010298,0.0010298
149,3137.67,0.75693,0.76096,1.17167,0.93399,0.88486,0.94752,0.64573,0.9749,0.82614,1.49476,0.0010232,0.0010232,0.0010232
150,3158.73,0.79389,0.76882,1.19003,0.92361,0.9375,0.92486,0.63546,0.88521,0.85176,1.36183,0.0010166,0.0010166,0.0010166
151,3179.83,0.78171,0.76689,1.17149,1,0.93014,0.93913,0.65365,0.89819,0.82034,1.31164,0.00101,0.00101,0.00101
152,3200.96,0.82103,0.77574,1.18597,0.87091,0.875,0.90389,0.66831,0.80461,0.70472,1.32151,0.0010034,0.0010034,0.0010034
153,3222.05,0.78761,0.73641,1.16092,0.83325,0.937,0.91983,0.63685,0.87128,0.88799,1.29571,0.0009968,0.0009968,0.0009968
154,3243.11,0.78175,0.7474,1.19074,0.70048,0.9375,0.8723,0.65457,0.74436,0.86622,1.1998,0.0009902,0.0009902,0.0009902
155,3264.06,0.77568,0.72623,1.16706,0.83163,0.8125,0.89338,0.66507,0.74062,0.86478,1.23331,0.0009836,0.0009836,0.0009836
